Agency Name,State Name [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2020-21,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2019-20,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2016-17,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2015-16
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,14398,17730,12489,11165,12805,13451,16434
ADEL SD 21,Oregon,39769,18880,37917,31909,33700,36286,18538
ADELANTE CHARTER DISTRICT,CALIFORNIA,13890,11815,10913,9510,†,†,†
ADELANTE SCHOOLS,INDIANA,14773,10934,†,†,†,†,†
ADELANTO ELEMENTARY,California,17287,15044,13511,13906,12322,11248,10001
ADELINE MONTESSORI SCHOOL INC,WISCONSIN,–,†,†,†,†,†,†
ADENA LOCAL,Ohio,14165,12512,10783,11594,10925,10277,10226
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,28120,30009,28592,26028,22528,26595,22293
ADLAI E STEVENSON HSD 125,Illinois,39023,40686,38139,35474,33373,31628,29092
ADMIRAL PEARY AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,–,†,–,–,†,†,–
ADNA SCHOOL DISTRICT,Washington,17777,15646,14192,13873,19365,21091,12032
ADRIAN ISD,Texas,23965,21238,20977,37538,57783,28188,12969
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,20630,14238,13405,12932,12508,12261,12126
ADRIAN PUBLIC SCHOOLS,Michigan,16137,14696,13688,13904,18412,15821,12099
ADRIAN R-III,Missouri,10274,12870,10189,10433,10827,9389,9307
ADRIAN SD 61,Oregon,20703,19945,17401,15427,19485,18232,13584
ADVANCE R-IV,Missouri,13181,9888,8848,9411,8746,12225,12591
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,18148,17616,17377,17424,16558,16501,14580
ADVANCED REGIONAL TECHNICAL EDUCATION INDUSTRIAL INC.,IDAHO,†,†,†,–,†,†,†
ADVANCED TECHNOLOGY ACADEMY,Michigan,12877,10298,10454,10048,10552,9438,9517
ADVANTAGE ACADEMY,Texas,10461,8412,8288,7495,7852,7813,7686
ADVANTAGE ARTS ACADEMY,UTAH,45687,48902,–,–,†,†,†
ADVANTAGE CHARTER ACADEMY,LOUISIANA,15661,15262,15595,12044,11649,11602,12440
AEA 13 GREEN HILLS AEA,Iowa,–,†,–,–,†,†,–
AECI II:  NYC CHARTER HS,NEW YORK,25706,22227,31257,†,†,†,†
AEROSTEM ACADEMY DISTRICT,CALIFORNIA,15539,10367,13262,19145,†,†,†
AFFTON 101,Missouri,15352,14046,13105,13688,12993,11205,11031
AFSA HIGH SCHOOL,Minnesota,18530,16849,16004,17891,16055,15644,15167
AFTON,Oklahoma,12423,12057,11040,10110,8444,8871,8589
AFTON CENTRAL SCHOOL DISTRICT,New York,54970,35641,27909,27593,27890,28556,27659
AGAMIM CLASSICAL ACADEMY,Minnesota,17455,15618,16979,14274,12935,16295,21411
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,21025,19623,18522,18959,17068,18343,18382
AGATE SCHOOL DISTRICT NO. 300,Colorado,21440,18014,30614,26170,†,†,–
AGAWAM,Massachusetts,24098,22525,20584,19716,18293,16961,17360
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,11520,10343,9835,9634,8903,8574,8936
AGNES J. JOHNSON CHARTER DISTRICT,CALIFORNIA,13893,8388,–,†,†,†,†
AGORA CYBER CS,Pennsylvania,20548,14328,18198,17246,15790,17992,12757
AGRA,Oklahoma,14117,10047,12122,11959,11146,10209,11583
AGUA DULCE ISD,Texas,16360,13406,13805,17711,22586,13050,11332
AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289),Arizona,16855,11749,10241,11283,15414,10843,8022
AGUILA ELEMENTARY DISTRICT (4249),Arizona,21310,18212,17807,13307,13205,9216,10121
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,25149,25460,19950,20948,17138,16363,16992
AGWSR COMM SCHOOL DISTRICT,Iowa,18435,15106,13557,13771,12738,12956,12129
AHSTW COMM SCHOOL DISTRICT,Iowa,14556,13873,13308,14846,13699,13334,17548
AHWATUKEE FOOTHILLS PREP  INC.,Arizona,†,†,†,†,†,†,–
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX (79053),Arizona,5972,7366,13452,9505,7874,6967,8960
AIBT NON-PROFIT CHARTER HIGH SCHOOL INC. (449790),ARIZONA,6625,2867,18143,3500,7333,†,†
AIKEN 01,South Carolina,14610,15350,15389,12989,11712,12399,10316
AIM ACADEMY OF SCIENCE & TECHNOLOGY,MINNESOTA,17147,†,†,†,†,†,†
AIMS COLLEGE PREP HIGH DISTRICT,CALIFORNIA,15280,13870,12399,11131,†,†,†
AIMS COLLEGE PREP MIDDLE DISTRICT,CALIFORNIA,14009,12538,12099,12441,†,†,†
AINSWORTH COMMUNITY SCHOOLS,Nebraska,20720,21183,17653,25072,17600,16117,14967
AIRLINE CSD,Maine,26085,24043,20107,19152,21270,16277,12643
AIRPORT COMMUNITY SCHOOLS,Michigan,13363,12773,14991,13944,10923,10793,10783
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,16934,14404,13721,13848,13774,14137,12705
AJO UNIFIED DISTRICT (4409),Arizona,10866,12928,13308,11838,8956,8480,9084
AKILI ACADEMY OF NEW ORLEANS,LOUISIANA,17647,15117,14554,13714,13319,14842,–
AKIMEL O OTHAM PEE POSH CHARTER SCHOOL INC. (5978),Arizona,11714,13235,19727,34313,15529,10000,16571
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL INC. (78966),Arizona,31000,20714,30833,70667,17073,14009,12621
AKIN CCSD 91,Illinois,22351,19833,20528,22011,23793,16211,16615
AKRON CAREER TECH HIGH SCHOOL,OHIO,15571,†,†,†,†,†,†
AKRON CENTRAL SCHOOL DISTRICT,New York,26281,27256,22898,21364,20651,24887,20724
AKRON CITY,Ohio,20483,21129,19402,19637,19526,19049,19017
AKRON DIGITAL ACADEMY,Ohio,†,†,†,†,9410,9837,10715
AKRON PREPARATORY SCHOOL,Ohio,12736,10511,11084,10317,13529,13283,12088
AKRON SCHOOL DISTRICT NO. R-1,Colorado,14363,14482,14895,12464,12325,11550,12376
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,15891,16253,13456,12410,13732,16782,12323
AKRON-FAIRGROVE SCHOOLS,Michigan,24058,26026,21655,12109,13983,11647,19245
AKROS MIDDLE SCHOOL,Ohio,16488,13975,10741,11000,10463,11702,8914
AL INST DEAF AND BLIND,Alabama,†,†,–,–,†,†,–
AL SCH OF MATH AND SCIENCE,Alabama,†,†,†,†,†,†,†
ALA CHARLOTTE,North Carolina,12289,10238,10721,12078,9815,8414,8406
ALABAMA AEROSPACE AND AVIATION,ALABAMA,–,†,†,†,†,†,†
ALABAMA CLINICAL SCHOOLS,Alabama,†,†,†,–,†,†,†
ALABAMA SCHOOL OF CYBER TECHNOLOGY AND ENGINEERING,ALABAMA,†,†,†,†,†,†,†
ALABAMA SCHOOL OF FINE ARTS,Alabama,†,†,–,–,†,†,–
ALABAMA YOUTH SERVICES,Alabama,–,†,–,–,†,†,–
ALABASTER CITY,Alabama,14916,13314,11543,12270,15855,20257,14988
ALACHUA,Florida,12950,14664,11572,10428,9840,9599,9340
ALADDIN ACADEMY,Ohio,†,†,†,†,†,†,†
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,19305,12647,12424,13079,†,†,†
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,10706,8685,†,†,†,†,†
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,15701,11168,10018,9770,9122,8846,8741
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,–
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,13315,11531,10355,10239,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,174620,161405,–,–,13604,15115,17168
ALAMEDA UNIFIED,California,19663,18532,19223,20403,14325,12869,11492
ALAMO,Tennessee,9569,9788,8851,8548,8214,7372,7215
ALAMO HEIGHTS ISD,Texas,20869,24520,25874,27041,23514,18267,16259
ALAMOGORDO,New Mexico,13070,13058,12276,9898,9126,9814,10082
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,12140,11755,10596,10030,9720,9389,9852
ALANSON PUBLIC SCHOOLS,Michigan,18026,16843,13656,13849,12241,12648,10926
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,41960,42423,37465,40438,37930,34488,32754
ALBA PUBLIC SCHOOLS,Michigan,15165,13360,14245,12203,13734,12222,11588
ALBA-GOLDEN ISD,Texas,14006,13664,13079,10280,10171,9491,8345
